what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269124326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1497269127958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1497269135906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1497269137799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1497269148290
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1497269153946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269154101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269158036
opened,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1497269159912
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1497269163768
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497269170955
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1497269185912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269188232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269191212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269242387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269243851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269275140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269278599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269291754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1497269293134
